Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,Category_encoded,Item_encoded,Day,Week,Month,Year,Day of Month,Profit,First_Purchase_Date,Customer_Type
TXN_6867343,CUST_09,Patisserie,Item_10_PAT,18.5,10,185.0,Digital Wallet,Online,2024-04-08,1,0,0,Monday,15,April,2024,8,184.0,2022-01-03,Returning
TXN_3731986,CUST_22,Milk Products,Item_17_MILK,29.0,9,261.0,Digital Wallet,Online,2023-07-23,1,1,1,Sunday,29,July,2023,23,260.0,2022-01-01,Returning
TXN_9303719,CUST_02,Butchers,Item_12_BUT,21.5,2,43.0,Credit Card,Online,2022-10-05,0,2,2,Wednesday,40,October,2022,5,43.0,2022-01-17,Returning
TXN_9458126,CUST_06,Beverages,Item_16_BEV,27.5,9,247.5,Credit Card,Online,2022-05-07,1,3,3,Saturday,18,May,2022,7,246.5,2022-01-01,Returning
TXN_4575373,CUST_05,Food,Item_6_FOOD,12.5,7,87.5,Digital Wallet,Online,2022-10-02,0,4,4,Sunday,39,October,2022,2,87.5,2022-01-03,Returning
TXN_7482416,CUST_09,Patisserie,Item_12_PAT,23.0,10,230.0,Credit Card,Online,2023-11-30,1,0,5,Thursday,48,November,2023,30,229.0,2022-01-03,Returning
TXN_3652209,CUST_07,Food,Item_1_FOOD,5.0,8,40.0,Credit Card,In-Store,2023-06-10,1,4,6,Saturday,23,June,2023,10,39.0,2022-01-04,Returning
TXN_1372952,CUST_21,Furniture,Item_25_FUR,33.5,4,134.0,Digital Wallet,In-Store,2024-04-02,1,5,7,Tuesday,14,April,2024,2,133.0,2022-01-05,Returning
TXN_9728486,CUST_23,Furniture,Item_16_FUR,27.5,1,27.5,Credit Card,In-Store,2023-04-26,0,5,8,Wednesday,17,April,2023,26,27.5,2022-01-02,Returning
TXN_2722661,CUST_25,Butchers,Item_22_BUT,36.5,3,109.5,Cash,Online,2024-03-14,0,2,9,Thursday,11,March,2024,14,109.5,2022-01-03,Returning
TXN_8776416,CUST_22,Butchers,Item_3_BUT,8.0,9,72.0,Cash,In-Store,2024-12-14,1,2,10,Saturday,50,December,2024,14,71.0,2022-01-01,Returning
TXN_5422631,CUST_09,Milk Products,Item_16_MILK,23.0,8,184.0,Digital Wallet,In-Store,2025-01-12,1,1,11,Sunday,2,January,2025,12,183.0,2022-01-03,Returning
TXN_5874772,CUST_23,Food,Item_2_FOOD,6.5,7,45.5,Cash,Online,2023-09-09,1,4,12,Saturday,36,September,2023,9,44.5,2022-01-02,Returning
TXN_4413070,CUST_14,Patisserie,Item_24_PAT,39.5,6,237.0,Digital Wallet,In-Store,2022-05-20,0,0,13,Friday,20,May,2022,20,237.0,2022-01-07,Returning
TXN_2490363,CUST_09,Milk Products,Item_16_MILK,27.5,2,55.0,Digital Wallet,Online,2022-05-22,1,1,11,Sunday,20,May,2022,22,54.0,2022-01-03,Returning
TXN_1809665,CUST_14,Beverages,Item_2_BEV,24.5,7,171.5,Credit Card,In-Store,2022-05-11,1,3,14,Wednesday,19,May,2022,11,170.5,2022-01-07,Returning
TXN_7563311,CUST_23,Patisserie,Item_17_PAT,29.0,8,232.0,Cash,Online,2024-11-16,1,0,15,Saturday,46,November,2024,16,231.0,2022-01-02,Returning
TXN_9634894,CUST_15,Milk Products,Item_16_MILK,23.0,10,230.0,Digital Wallet,Online,2022-04-17,1,1,11,Sunday,15,April,2022,17,229.0,2022-01-01,Returning
TXN_4396807,CUST_17,Electric Household Essentials,Item_13_EHE,23.0,1,23.0,Digital Wallet,In-Store,2022-02-07,0,6,16,Monday,6,February,2022,7,23.0,2022-01-01,Returning
TXN_4206593,CUST_01,Furniture,Item_25_FUR,35.0,6,210.0,Digital Wallet,Online,2025-01-13,0,5,7,Monday,3,January,2025,13,210.0,2022-01-01,Returning
TXN_9939063,CUST_14,Beverages,Item_7_BEV,14.0,9,126.0,Digital Wallet,In-Store,2024-01-14,1,3,17,Sunday,2,January,2024,14,125.0,2022-01-07,Returning
TXN_8685338,CUST_15,Milk Products,Item_16_MILK,23.0,3,69.0,Credit Card,In-Store,2023-10-29,1,1,11,Sunday,43,October,2023,29,68.0,2022-01-01,Returning
TXN_6547964,CUST_10,Electric Household Essentials,Item_4_EHE,9.5,7,66.5,Cash,In-Store,2022-08-15,1,6,18,Monday,33,August,2022,15,65.5,2022-01-02,Returning
TXN_3314099,CUST_04,Food,Item_10_FOOD,18.5,1,18.5,Cash,Online,2023-09-30,0,4,19,Saturday,39,September,2023,30,18.5,2022-01-02,Returning
TXN_9980736,CUST_13,Furniture,Item_14_FUR,24.5,2,49.0,Cash,Online,2023-08-29,0,5,20,Tuesday,35,August,2023,29,49.0,2022-01-04,Returning
TXN_3481599,CUST_05,Furniture,Item_25_FUR,39.5,7,276.5,Cash,Online,2022-09-08,0,5,7,Thursday,36,September,2022,8,276.5,2022-01-03,Returning
TXN_9057609,CUST_18,Butchers,Item_20_BUT,33.5,4,134.0,Credit Card,In-Store,2022-03-16,1,2,21,Wednesday,11,March,2022,16,133.0,2022-01-02,Returning
TXN_1599706,CUST_14,Furniture,Item_25_FUR,41.0,10,410.0,Credit Card,In-Store,2024-03-24,1,5,7,Sunday,12,March,2024,24,409.0,2022-01-07,Returning
